"Year","Week_Of_The_Year","quantityPerWeek","NoOfWeeklyPromotion","FractionOfWeeklyPriceChange","AverageWeeklyPriceChange","AverageWeeklyPriceChangePer","weeklyPromotion","meanTemperatureOfWeek","CountOfHighTempBins","CountOfMedTempBins","CountOfLowTempBins","temperaturebins"
2014,0,123,4,-2,-0.5,-42.0168067226891,"Y",12.6,0,2,3,"1"
2014,1,139,7,-3.5,-0.5,-42.0168067226891,"Y",10.8571428571429,0,2,5,"1"
2014,2,100,7,-3.5,-0.5,-42.0168067226891,"Y",15.1428571428571,0,7,0,"2"
2014,3,191,7,-0.430000000000001,-0.0614285714285715,-5.16206482593037,"Y",14.4285714285714,0,6,1,"2"
2014,4,162,7,-0.420000000000001,-0.0600000000000001,-5.04201680672269,"Y",11.1428571428571,0,2,5,"1"
2014,5,141,7,-0.7,-0.1,-8.40336134453782,"Y",9.85714285714286,0,0,7,"1"
2014,6,749,7,0.8,0.114285714285714,9.60384153661462,"Y",15.5714285714286,0,7,0,"2"
2014,7,390,7,-0.1,-0.0142857142857143,-1.20048019207684,"Y",13.8571428571429,0,6,1,"2"
2014,8,188,7,-0.7,-0.1,-8.40336134453782,"Y",13.2857142857143,0,5,2,"2"
2014,9,153,7,-0.7,-0.1,-8.40336134453782,"Y",16.1428571428571,0,7,0,"2"
2014,10,530,7,0.8,0.114285714285714,9.60384153661462,"Y",16.2857142857143,0,7,0,"2"
2014,11,219,2,0.4,0.2,16.8067226890756,"N",15,0,7,0,"2"
2014,12,24,0,0,0,0,"N",14.2857142857143,0,6,1,"2"
2014,13,24,0,0,0,0,"N",11.8571428571429,0,1,6,"1"
2014,14,24,0,0,0,0,"N",18.4285714285714,0,7,0,"2"
2014,15,24,0,0,0,0,"N",17.5714285714286,0,7,0,"2"
2014,16,24,0,0,0,0,"N",15.7142857142857,0,6,1,"2"
2014,17,24,0,0,0,0,"N",20.8571428571429,0,7,0,"2"
2014,18,24,0,0,0,0,"N",16.1428571428571,0,7,0,"2"
2014,19,84,0,0,0,0,"N",22.8571428571429,4,3,0,"3"
2014,20,147,0,0,0,0,"N",18.2857142857143,0,7,0,"2"
2014,21,103,0,0,0,0,"N",22.1428571428571,3,4,0,"2"
2014,22,121,0,0,0,0,"N",21.2857142857143,0,7,0,"2"
2014,23,925,5,1,0.2,16.8067226890756,"Y",22,1,6,0,"2"
2014,24,367,2,0.4,0.2,16.8067226890756,"N",21.8571428571429,2,5,0,"2"
2014,25,157,5,-0.5,-0.1,-8.40336134453782,"Y",22.8571428571429,3,4,0,"2"
2014,26,127,7,-0.7,-0.1,-8.40336134453782,"Y",26,7,0,0,"3"
2014,27,1024,7,0.8,0.114285714285714,9.60384153661462,"Y",25.5714285714286,7,0,0,"3"
2014,28,269,7,-0.1,-0.0142857142857143,-1.20048019207684,"Y",23,3,4,0,"2"
2014,29,155,7,-0.7,-0.1,-8.40336134453782,"Y",26.2857142857143,7,0,0,"3"
2014,30,319,7,0.8,0.114285714285714,9.60384153661462,"Y",27.2857142857143,7,0,0,"3"
2014,31,154,7,-0.1,-0.0142857142857143,-1.20048019207684,"Y",23.4285714285714,5,2,0,"3"
2014,32,82,7,-0.7,-0.1,-8.40336134453782,"Y",26.4285714285714,7,0,0,"3"
2014,33,104,7,-0.7,-0.1,-8.40336134453782,"Y",23.4285714285714,4,3,0,"3"
2014,34,111,7,-0.7,-0.1,-8.40336134453782,"Y",26,7,0,0,"3"
2014,35,299,7,0.8,0.114285714285714,9.60384153661462,"Y",25.7142857142857,7,0,0,"3"
2014,36,338,7,-0.1,-0.0142857142857143,-1.20048019207684,"Y",27.4285714285714,7,0,0,"3"
2014,37,105,7,-0.7,-0.1,-8.40336134453782,"Y",26.1428571428571,5,2,0,"3"
2014,38,103,7,-0.7,-0.1,-8.40336134453782,"Y",23,5,2,0,"3"
2014,39,89,7,-1.4,-0.2,-16.8067226890756,"Y",22.4285714285714,4,3,0,"3"
2014,40,143,7,-1.4,-0.2,-16.8067226890756,"Y",21.8571428571429,3,4,0,"2"
2014,41,405,7,0.6,0.0857142857142857,7.20288115246097,"Y",19.1428571428571,0,7,0,"2"
2014,42,200,7,-0.6,-0.0857142857142857,-7.20288115246097,"Y",19.8571428571429,0,7,0,"2"
2014,43,180,7,-1.4,-0.2,-16.8067226890756,"Y",16.2857142857143,0,6,1,"2"
2014,44,1303,7,0.6,0.0857142857142857,7.20288115246097,"Y",16.8571428571429,0,6,1,"2"
2014,45,876,2,0.4,0.2,16.8067226890756,"N",14.8571428571429,0,7,0,"2"
2014,46,205,5,-1,-0.2,-16.8067226890756,"Y",14.1428571428571,0,6,1,"2"
2014,47,222,7,-1.4,-0.2,-16.8067226890756,"Y",15.1428571428571,0,7,0,"2"
2014,48,168,7,-0.9,-0.128571428571429,-10.8043217286915,"Y",14.4285714285714,0,7,0,"2"
2014,49,1351,7,0.8,0.114285714285714,9.60384153661462,"Y",12.7142857142857,0,4,3,"2"
2014,50,467,7,-0.6,-0.0857142857142857,-7.20288115246097,"Y",9.85714285714286,0,0,7,"1"
2014,51,379,7,-1.4,-0.2,-16.8067226890756,"Y",10.5714285714286,0,3,4,"1"
2014,52,419,3,-0.2,-0.0666666666666667,-5.60224089635853,"Y",4.33333333333333,0,0,3,"1"
2015,0,559,4,0.8,0.2,16.8067226890756,"Y",5.5,0,0,4,"1"
2015,1,674,2,0.4,0.2,16.8067226890756,"N",12.1428571428571,0,4,3,"2"
2015,2,149,5,-1,-0.2,-16.8067226890756,"Y",11.5714285714286,0,2,5,"1"
2015,3,101,7,-1.4,-0.2,-16.8067226890756,"Y",12.5714285714286,0,3,4,"1"
2015,4,118,7,-1.4,-0.2,-16.8067226890756,"Y",13.7142857142857,0,5,2,"2"
2015,5,141,7,-1.4,-0.2,-16.8067226890756,"Y",13.7142857142857,0,6,1,"2"
2015,6,481,7,-0.700000000000001,-0.1,-8.40336134453781,"Y",15.1428571428571,0,7,0,"2"
2015,7,277,7,-1.12,-0.16,-13.4453781512605,"Y",13.1428571428571,0,5,2,"2"
2015,8,111,7,-1.4,-0.2,-16.8067226890756,"Y",10.2857142857143,0,0,7,"1"
2015,9,153,7,-1.4,-0.2,-16.8067226890756,"Y",11.2857142857143,0,3,4,"1"
2015,10,134,7,-1.4,-0.2,-16.8067226890756,"Y",17.1428571428571,0,7,0,"2"
2015,11,407,7,-0.700000000000001,-0.1,-8.40336134453781,"Y",17.5714285714286,0,7,0,"2"
2015,12,310,7,-1.12,-0.16,-13.4453781512605,"Y",17.2857142857143,0,7,0,"2"
2015,13,201,0,0,0,0,"N",16.4285714285714,0,7,0,"2"
2015,14,171,0,0,0,0,"N",13.1428571428571,0,5,2,"2"
2015,15,99,0,0,0,0,"N",17.2857142857143,0,7,0,"2"
2015,16,133,0,0,0,0,"N",15,0,7,0,"2"
2015,17,92,0,0,0,0,"N",20.5714285714286,0,7,0,"2"
2015,18,267,5,-0.3,-0.0600000000000001,-5.04201680672269,"Y",15.2857142857143,0,6,1,"2"
2015,19,252,7,-1.62,-0.231428571428571,-19.4477791116447,"Y",15.2857142857143,0,5,2,"2"
2015,20,99,7,-2.1,-0.3,-25.2100840336135,"Y",15.7142857142857,0,7,0,"2"
2015,21,94,7,-2.1,-0.3,-25.2100840336135,"Y",19.8571428571429,1,6,0,"2"
2015,22,91,7,-2.1,-0.3,-25.2100840336135,"Y",19.5714285714286,1,6,0,"2"
2015,23,517,7,-0.9,-0.128571428571429,-10.8043217286915,"Y",23.2857142857143,3,4,0,"2"
2015,24,345,7,-0.420000000000001,-0.0600000000000001,-5.04201680672269,"Y",24.8571428571429,7,0,0,"3"
2015,25,133,2,-0.12,-0.0600000000000001,-5.04201680672269,"N",26.2857142857143,7,0,0,"3"
2015,26,151,0,0,0,0,"N",25.8571428571429,6,1,0,"3"
2015,27,160,0,0,0,0,"N",21.8571428571429,2,5,0,"2"
2015,28,190,0,0,0,0,"N",23.5714285714286,5,2,0,"3"
2015,29,148,0,0,0,0,"N",24.5714285714286,7,0,0,"3"
2015,30,132,0,0,0,0,"N",26,7,0,0,"3"
2015,31,126,0,0,0,0,"N",24.8571428571429,6,1,0,"3"
2015,32,1196,5,1,0.2,16.8067226890756,"Y",27,5,2,0,"3"
2015,33,397,7,-0.1,-0.0142857142857143,-1.20048019207684,"Y",24.4285714285714,7,0,0,"3"
2015,34,110,7,-1.7,-0.242857142857143,-20.4081632653062,"Y",28,7,0,0,"3"
2015,35,89,7,-2.1,-0.3,-25.2100840336135,"Y",22.4285714285714,4,3,0,"3"
2015,36,1145,7,0.4,0.0571428571428572,4.80192076830728,"Y",28.7142857142857,7,0,0,"3"
2015,37,476,7,-1.1,-0.157142857142857,-13.2052821128452,"Y",23.5714285714286,5,2,0,"3"
2015,38,72,7,-2.1,-0.3,-25.2100840336135,"Y",26,7,0,0,"3"
2015,39,108,7,-2.1,-0.3,-25.2100840336135,"Y",21.8571428571429,4,3,0,"3"
2015,40,182,7,-0.65,-0.0928571428571429,-7.80312124849942,"Y",22.5714285714286,4,3,0,"3"
2015,41,121,7,-1.52,-0.217142857142857,-18.2472989195679,"Y",23.8571428571429,4,3,0,"3"
2015,42,96,7,-2.1,-0.3,-25.2100840336135,"Y",19.1428571428571,0,7,0,"2"
2015,43,280,7,-0.9,-0.128571428571429,-10.8043217286915,"Y",19.5714285714286,0,7,0,"2"
2015,44,405,7,-1.62,-0.231428571428571,-19.4477791116447,"Y",12.5714285714286,0,4,3,"2"
2015,45,373,7,-2.1,-0.3,-25.2100840336135,"Y",11.7142857142857,0,2,5,"1"
2015,46,2216,7,0.4,0.0571428571428572,4.80192076830728,"Y",15.2857142857143,0,5,2,"2"
2015,47,1678,7,0.5,0.0714285714285714,6.00240096038413,"Y",9.42857142857143,0,1,6,"1"
2015,48,574,7,-1.7,-0.242857142857143,-20.4081632653062,"Y",11.2857142857143,0,2,5,"1"
2015,49,1074,7,0.4,0.0571428571428572,4.80192076830728,"Y",12.4285714285714,0,3,4,"1"
2015,50,1250,7,-1.1,-0.157142857142857,-13.2052821128452,"Y",7.14285714285714,0,0,7,"1"
2015,51,642,7,-2.1,-0.3,-25.2100840336135,"Y",8.85714285714286,0,2,5,"1"
2015,52,704,4,-0.72,-0.18,-15.1260504201681,"Y",5.25,0,0,4,"1"
2016,0,152,3,-0.18,-0.0600000000000001,-5.04201680672269,"Y",8.66666666666667,0,0,3,"1"
2016,1,431,7,-1.38,-0.197142857142857,-16.5666266506603,"Y",8.85714285714286,0,0,7,"1"
2016,2,149,7,-2.1,-0.3,-25.2100840336135,"Y",10.2857142857143,0,0,7,"1"
2016,3,127,7,-2.1,-0.3,-25.2100840336135,"Y",12.2857142857143,0,3,4,"1"
2016,4,109,7,-2.1,-0.3,-25.2100840336135,"Y",11.4285714285714,0,1,6,"1"
2016,5,230,7,-1.9,-0.271428571428572,-22.8091236494598,"Y",10.2857142857143,0,2,5,"1"
2016,6,168,7,-4.12,-0.588571428571429,-49.4597839135654,"Y",16.7142857142857,0,7,0,"2"
2016,7,95,7,-5.6,-0.8,-67.2268907563025,"Y",14.7142857142857,0,5,2,"2"
2016,8,111,7,-2.1,-0.3,-25.2100840336135,"Y",15.5714285714286,0,7,0,"2"
2016,9,192,7,-0.9,-0.128571428571429,-10.8043217286915,"Y",16,0,7,0,"2"
2016,10,206,7,-1.62,-0.231428571428571,-19.4477791116447,"Y",11.7142857142857,0,3,4,"1"
2016,11,168,7,-2.1,-0.3,-25.2100840336135,"Y",16.4285714285714,0,7,0,"2"
2016,12,198,7,-2.1,-0.3,-25.2100840336135,"Y",14.8571428571429,0,6,1,"2"
2016,13,147,7,-2.1,-0.3,-25.2100840336135,"Y",13.2857142857143,0,4,3,"2"
2016,14,260,7,-0.9,-0.128571428571429,-10.8043217286915,"Y",16.7142857142857,0,7,0,"2"
2016,15,114,7,-1.62,-0.231428571428571,-19.4477791116447,"Y",17,0,7,0,"2"
2016,16,93,7,-2.1,-0.3,-25.2100840336135,"Y",18.2857142857143,0,7,0,"2"
2016,17,109,7,-2.1,-0.3,-25.2100840336135,"Y",13.8571428571429,0,7,0,"2"
2016,18,211,7,-0.9,-0.128571428571429,-10.8043217286915,"Y",16,0,7,0,"2"
2016,19,153,7,-1.12,-0.16,-13.4453781512605,"Y",19,0,7,0,"2"
2016,20,95,7,-1.4,-0.2,-16.8067226890756,"Y",17.8571428571429,0,7,0,"2"
2016,21,151,7,-1.4,-0.2,-16.8067226890756,"Y",17,0,7,0,"2"
2016,22,104,7,-1.9,-0.271428571428571,-22.8091236494598,"Y",22.8571428571429,4,3,0,"3"
2016,23,112,7,-2.1,-0.3,-25.2100840336135,"Y",20.8571428571429,2,5,0,"2"
2016,24,88,7,-2.1,-0.3,-25.2100840336135,"Y",21.5714285714286,2,5,0,"2"
2016,25,92,7,-0.9,-0.128571428571429,-10.8043217286915,"Y",26.7142857142857,7,0,0,"3"
2016,26,97,7,-1.62,-0.231428571428571,-19.4477791116447,"Y",26.5714285714286,6,1,0,"3"
2016,27,81,7,-0.9,-0.128571428571429,-10.8043217286915,"Y",23.1428571428571,5,2,0,"3"
2016,28,89,2,-0.12,-0.0600000000000001,-5.04201680672269,"N",24.4285714285714,7,0,0,"3"
2016,29,110,0,0,0,0,"N",28,7,0,0,"3"
2016,30,50,0,0,0,0,"N",28.8571428571429,7,0,0,"3"
2016,31,86,0,0,0,0,"N",25.5714285714286,7,0,0,"3"
2016,32,131,0,0,0,0,"N",25,7,0,0,"3"
2016,33,339,5,-0.3,-0.0600000000000001,-5.04201680672269,"Y",26.5714285714286,7,0,0,"3"
2016,34,280,7,-1.62,-0.231428571428571,-19.4477791116447,"Y",23.5714285714286,5,2,0,"3"
2016,35,173,7,-2.1,-0.3,-25.2100840336135,"Y",24.8571428571429,5,2,0,"3"
2016,36,171,7,-2.1,-0.3,-25.2100840336135,"Y",23,5,2,0,"3"
2016,37,395,7,0.4,0.0571428571428572,4.80192076830728,"Y",20.4285714285714,1,6,0,"2"
2016,38,350,7,-1.1,-0.157142857142857,-13.2052821128452,"Y",22.7142857142857,4,3,0,"3"
2016,39,131,7,-2.1,-0.3,-25.2100840336135,"Y",23.8571428571429,6,1,0,"3"
2016,40,174,7,-0.9,-0.128571428571429,-10.8043217286915,"Y",19.5714285714286,0,7,0,"2"
2016,41,149,7,-0.420000000000001,-0.0600000000000001,-5.04201680672269,"Y",18.4285714285714,0,7,0,"2"
2016,42,98,7,-1.62,-0.231428571428571,-19.4477791116447,"Y",19.7142857142857,1,6,0,"2"
2016,43,1001,7,0.4,0.0571428571428572,4.80192076830728,"Y",18.4285714285714,0,7,0,"2"
2016,44,645,7,0.0999999999999995,0.0142857142857142,1.20048019207682,"Y",16.8571428571429,0,7,0,"2"
2016,45,212,7,-0.62,-0.0885714285714286,-7.44297719087635,"Y",19.2857142857143,0,7,0,"2"
2016,46,712,7,0.8,0.114285714285714,9.60384153661462,"Y",16,0,7,0,"2"
2016,47,971,7,1.4,0.2,16.8067226890756,"Y",11.5714285714286,0,3,4,"1"
2016,48,227,3,0.3,0.1,8.40336134453779,"Y",10,0,0,7,"1"
